key,name_en
101073, LAARCOURIER
101030, W/:\RP
190135,139Express
190659,17EXP
190164,17FEIA
191047,1ST
190400,1STOP
100905,1strack
190349,1TONG
191215,218 Logistics
101113,247Express
100354,2GO
190811,3CLIQUES
190881,3DADA
100746,3JMS Logistics
191376,3PE EXPRESS
100664,4 SIDES
3131,4-72
100919,4CUS
190583,4PLLAB
190094,4PX
100135,5Post
190240,5UL
190782,6ZEX
101037,7 Hours Express
191285,7Days SupplyChain
190456,7-ELEVEN
190677,7TM
100477,99Minutos
100678,A Tiempo Cargo 
100688,A TU HORA EXPRESS
100724,A. Duie Pyle
100412,A1 POST
100343,AAA Cooper Transportation
100340,ABF Freight
191161,ABT
190512,ac logistics
101051,accufRATE
101111,ACI Express
100325,ACI Logistix
100726,aCommerce
101144,acrossB
100070,ACS
191178,ACS Logstic
191092,ACS WORLDWIDE EXPRESS
100838,ACT Logistics
190042,ADA国际
191101,Adico
100353,ADSOne
101018,Advanced & Simple Logistics
101166,Advantage Logistics
100742,Aeronet
1021,Afghan Post
191029,AFL LOGISTICS
190833,AfterHaul
100251,Agility
191323,AHC
191381,AHC
190927,AHGJ
100563,Air Bus Logistics
100713,Air Star Xpress Couriers
100088,Airpak Express
100645,AirTerra
100826,AIRTRANS GROUP LTD.
100716,AIRWAYS COURIER
100794,Airwings
100443,AIT Worldwide Logistics
100296,AJEX
100705,Akash Ganga Courier
191071,Aknien
91021,Aland Post
1031,Albanian Post
191207,ALE
100551,ALF Mensajería 
101122,Alfa Delivery Services
1043,Algeria EMS
1041,Algeria Post
191193,Alibaba.com Logistics
190625,AliExpress
100648,Allegro
100623,Allied Express Transport
191294,All-in Logistics
190163,ALLJOY
190409,AllRoad
191123,ALLWIN
101054,Almex
191288,Alphastline
100733,Always Express
100440,AM Home Delivery
191340,AMA
101081,Amazon Shipping (ES)
101001,Amazon Shipping (FR)
100417,Amazon Shipping (IN)
100750,Amazon Shipping (IT)
100309,Amazon Shipping (UK)
100308,Amazon Shipping + Amazon MCF
100510,AmbroExpress
100727,Americanas Entrega
190391,AML
190804,Am-logistics
9051,An Post
190923,Anbeiqi
191167,And Tongda
191405,Andida
100497,Andreani
191174,Ane Express
191398,Anhua International
190047,Anjun
190790,ANL
190898,ANL
190944,ANS
190304,AnserX
190265,ANT Express
101175,ANT PARCEL TRACKING
100589,Anteraja
92021,Antilles Post
190965,ANYIDA
191113,ANYUN
190370,AO YOU
191093,Aomeng
191229,AOSEN
191519,Aotsd
191089,AOYUE
101075,AP Cargo
101065,APC Overnight
100121,APC Postal Logistics
100178,APG eCommerce
101041,APG Global
190949,Aplus
100527,AppleExpress
100090,Aquiline
100006,Aramex
100044,Aramex AU (formerly Fastway AU)
100067,Aramex NZ (formerly Fastway NZ)
100607,Aras Kargo
100333,ArcBest (Panther)
100649,Arco Spedizioni
100988,Ark Space
101076,Arrow XL
191105,ARU
92031,Aruba Post
100796,ASE Asia Africa Sky Express
100029,Asendia
100016,Asendia USA
190521,ASGYL
190303,ASIAFLY
100434,Asigna
100989,ASL Distribution Services (ASL)
191196,AST
191205,ASWKK
100820,Asyad Express (أسياد)
190408,AT
191219,ATB
101009,ATC Express
100769,ATC Logistical Solutions Pvt. Ltd
191253,ATI
100828,Atlantic International Express
190787,ATMAD GLOBAL CARGO
100699,ATS Healthcare
190350,AtWindow
191201,ATX
191112,AU-Hawk
190146,AUS
1151,Australia Post
100565,Australian Regional Xpress Pty Ltd
1161,Austrian Post
191031,AUSTWAY
100561,avent Logistics
100444,Averitt Express
191471,AX
191515,AYD
100855,AyMakan
100858,AyMakan (AE)
191540,AYT
1171,Azer Express Post
190076,BAB
190979,baiyanda
191166,BAIZHOU
191494,BANGGUOTIANXIA
2031,Bangladesh Post
190703,Baosen Suntop
2041,Barbados Post
191437,BASAEXP
100465,Basl Express
190897,BCD
190968,BCYT
191400,BDT
190627,BE
100888,BEE FAST
191557,Beewin
191006,Beiran
190108,BEL
2071,Belize Post
2051,Belpost
190934,Beluga Logistics
191269,BENBEN
100130,Beone
90041,Bermuda Post
100391,BEST EXPRESS
190846,Best Inc (CN)
190259,Best Inc.
100916,Best Overnite Express
101077,Best Yet Express
191235,BESTFULFILL
100473,Better Trucks
190933,BETTER WAY 
100666,BEX
191177,BGY
191279,BH
190434,BHT
2101,Bhutan Post
100617,BIG Smart
190089,Bird System
191126,BISHENG SHIPPING COMPANY
100780,Biz Courier
190829,BJL
191396,BJPANDA
101003,BJS Home Delivery
190913,BL
100289,Black Arrow Express
100630,BLACKHAUL
191380,BLKJ
100055,Blue Dart Express
100250,Blue Express
190589,Blue Leopard
191510,Bluebird
190910,BlueBuc
191547,BlueBull
100053,Bluecare
100098,BlueEx
100453,Bluestreak
190843,BMURFS Express
191108,BNGYL
190921,BNYT
190749,BODA
191096,Bollyman
100823,Bombax Logistics Pvt. Ltd.
100193,Bombino Express
190080,BONA
190882,Bondex
100949,Bonds Transport Group
101164,Bookabldg
101141,Booth Logistics
100414,Border Express
191147,Boss Logistics
100487,Bosta
2131,Botswana Post
101008,BOX NOW
190774,Box Supply Chain
100157,Boxberry
100614,BoxC
190570,BOXIN
100276,Boxme
100520,Boxtal
100749,Boyacá Delivery
2061,Bpost
2063,Bpost International
190011,BQC
191077,BR
190335,BR1
100534,BRANDING WORLDWIDE PTY LTD
100375,Brazil Border
100557,Breeze
190715,Bright Future Supply Chain
100423,Bring
100166,Bringer Air Cargo
100197,Bringer Parcel Service
101105,Bringly
191127,Broadway
100446,Broker Den
100026,BRT Bartolini(DPD)
2161,Brunei Post
191022,BRWL
190708,BSB
190290,BSI
190361,BSIE
190331,BTD
100609,Budbee
100707,Bue Sky Courier
190226,BUFFALO
100621,BUFFALO (ZA)
2171,Bulgarian Post
100521,Bunddl
2191,Burundi Post
191200,BY56.com
191468,BYD  
190279,BYT
101138,C Chez Vous
190602,"C&C Co.,Ltd"
101078,C.H. Robinson
190905,C2I LOGISTIC
101153,c807xpress
100045,Cacesa Postal
190271,Cainiao
191076,Cainiao(CN)
100770,CallCourier
3021,Cambodia Post
3031,Campost
191086,Canada GTL Express
3041,Canada Post
100146,Canpar Express
100915,Cargo International
100869,CargoEx Freight Movers
100174,Cargus
100078,Caribou
100371,Castle Parcel
100851,CATHEDIS
100349,CBL Logistica
190783,CC logistics
190904,CCE
190364,CD
100030,CDEK
190556,CDEX
100263,CDL Last Mile
191011,CEL
100219,Celeritas
190709,CENTEX
100956,Central Transport
100297,CEVA Logistics
190210,CGS
191355,CGSD
191008,Changhui Logistics
191280,CHAODAEXP
190770,Chaoyue international logistics
101126,Chazki
190725,CHENGTONG
190470,CHH
191511,Chic
191353,CHIEN SUPPLY CHAIN
100278,Chilexpress
3013,China EMS
3011,China Post
190575,CHINA SOUTHERN AIR LOGISTICS
190393,CHINACOURIER
191467,CHINZ LOGISTICS
100244,Chit Chats
190983,CHRISSELL
100273,Chronopost
100137,Chronopost Morocco
190447,Chuangyu Logistics
190111,Chukou1
20011,Chunghwa Post
20012,Chunghwa Post (Demestic)
100958,Chunil Cargo
100732,Chyuan-Toong Logistics
190594,Cigerma
190595,CIMC ADS
191339,CIRRO E-Commerce
191150,CIRRO Parcel
191249,Citiparcel
100837,Citi-Sprint
190234,CITITRANS
101084,City Express
100081,City Link
100405,CityMail
190283,CJ
191386,CJ
100117,CJ Century
100116,CJ Korea Express
100689,CJ Logistics
100540,CJ Logistics (SG)
191159,CJ Packet
191313,CJBG
191162,CJ-EXP
190834,CK internation
191149,CLE
100698,Closer Logistics
100755,CMA CGM
190999,CMK
190448,CN wang tong
191366,Cn56
190208,CNE
100267,CNILINK
191440,CNOH
190487,CNOR
191415,CNTOIN
191549,CNYT
101127,COD Express
100370,Colicoli
100027,Colis Prive(Colis Privé)
100239,Collect+
190711,COMEBOX
100182,Comet Hellas
190414,Comet Tech
100155,Commonline
190428,ComOne Express
100512,Compass
100847,Concord Logistik
100486,Connect Couriers
100852,Continental Courier Service
100467,Conwest Logistics
100493,Coordinadora
100255,Copa Airlines Courier
100940,COPE Sensitive Freight
2151,Correios Brazil
3061,Correios Cabo Verde
13221,Correios de Moçambique
1121,Correo Argentino
7121,Correo de Guatemala
19031,Correo El Salvador
16051,Correo Paraguayo
21041,Correo Uruguayo
3101,Correos Chile
3181,Correos Costa Rica
3201,Correos de Cuba
8041,Correos de Honduras
5011,Correos Ecuador
100048,Correos Express
16031,Correos Panama
19181,Correos Spain
190138,Cosco Shipping Air
190722,COSEX
100667,COURIER CENTER
100927,CourierIt
100131,CourierPlus Nigeria
100122,CouriersPlease
190666,Cowin
190469,CPEX
191377,Crane Worldwide (E-commerce)
191308,CRED
100745,CRL Express
3191,Croatian Post
100454,CrossCountry Freight
100978,Crossflight
190849,CSE
190404,CSIL
191069,CSJWL
100400,CST Italia Scarl
190670,CTGJ
190548,CTS
100626,CTS GROUP
16101,CTT
100114,CTT Express
